"","x"
"1761",3577
"1762",3538
"1763",3548
"1764",3525
"1765",3490
"1766",3432
"1767",3425
"1768",3420
"1769",3405
"1770",3379
"1771",3373
"1772",3391
"1773",3450
"1774",3483
"1775",3484
"1776",3490
"1777",3534
"1778",3536
"1779",3562
"1780",3586
"1781",3570
"1782",3593
"1783",3573
"1784",3553
"1785",3572
"1786",3567
"1787",3567
"1788",3567
"1789",3580
"1790",3618
"1791",3606
"1792",3611
"1793",3606
"1794",3619
"1795",3595
"1796",3563
"1797",3572
"1798",3607
"1799",3613
"1800",3631
"1801",3614
"1802",3618
"1803",3643
"1804",3645
"1805",3620
"1806",3627
"1807",3583
"1808",3608
"1809",3637
"1810",3626
"1811",3585
"1812",3564
"1813",3531
"1814",3485
"1815",3414
"1816",3418
"1817",3484
"1818",3497
"1819",3478
"1820",3462
"1821",3468
"1822",3487
"1823",3508
"1824",3474
"1825",3381
"1826",3417
"1827",3419
"1828",3428
"1829",3459
"1830",3471
"1831",3448
"1832",3452
"1833",3482
"1834",3482
"1835",3478
"1836",3479
"1837",3454
"1838",3421
"1839",3421
"1840",3414
"1841",3405
"1842",3438
"1843",3438
"1844",3452
"1845",3441
"1846",3449
"1847",3404
"1848",3392
"1849",3369
"1850",3385
"1851",3391
"1852",3386
"1853",3410
"1854",3391
"1855",3355
"1856",3349
"1857",3316
"1858",3240
"1859",3264
"1860",3277
"1861",3297
"1862",3318
"1863",3347
"1864",3366
"1865",3357
"1866",3335
"1867",3292
"1868",3319
"1869",3299
"1870",3276
"1871",3240
"1872",3209
"1873",3184
"1874",3209
"1875",3196
"1876",3243
"1877",3257
"1878",3261
"1879",3308
"1880",3328
"1881",3343
"1882",3374
"1883",3349
"1884",3341
"1885",3321
"1886",3267
"1887",3209
"1888",3126
"1889",3127
"1890",3138
"1891",3148
"1892",3133
"1893",3085
"1894",3061
"1895",2999
"1896",3015
"1897",3033
"1898",3059
"1899",3099
"1900",3084
"1901",3159
"1902",3148
"1903",3209
"1904",3230
"1905",3224
"1906",3212
"1907",3258
"1908",3270
"1909",3229
"1910",3214
"1911",3285
"1912",3299
"1913",3279
"1914",3223
"1915",3227
"1916",3220
"1917",3253
"1918",3239
"1919",3243
"1920",3253
"1921",3295
"1922",3280
"1923",3297
"1924",3320
"1925",3325
"1926",3305
"1927",3301
"1928",3321
"1929",3290
"1930",3311
"1931",3315
"1932",3258
"1933",3234
"1934",3199
"1935",3194
"1936",3177
"1937",3197
"1938",3194
"1939",3233
"1940",3252
"1941",3260
"1942",3309
"1943",3345
"1944",3315
"1945",3249
"1946",3262
"1947",3251
"1948",3243
"1949",3269
"1950",3299
"1951",3308
"1952",3290
"1953",3296
"1954",3293
"1955",3283
"1956",3251
"1957",3264
"1958",3273
"1959",3283
"1960",3317
"1961",3295
"1962",3315
"1963",3307
"1964",3344
"1965",3392
"1966",3379
"1967",3385
"1968",3403
"1969",3446
"1970",3441
"1971",3460
"1972",3475
"1973",3496
"1974",3498
"1975",3515
"1976",3537
"1977",3600
"1978",3598
"1979",3560
"1980",3546
"1981",3522
"1982",3549
"1983",3537
"1984",3510
"1985",3554
"1986",3523
"1987",3523
"1988",3539
"1989",3536
"1990",3513
"1991",3552
"1992",3569
"1993",3560
"1994",3508
"1995",3504
"1996",3522
"1997",3462
"1998",3453
"1999",3480
"2000",3500
"2001",3491
"2002",3504
"2003",3494
"2004",3500
"2005",3453
"2006",3436
"2007",3441
"2008",3460
"2009",3477
"2010",3493
"2011",3489
"2012",3545
"2013",3553
"2014",3539
"2015",3534
"2016",3503
"2017",3491
"2018",3491
"2019",3454
"2020",3477
"2021",3500
"2022",3534
"2023",3485
"2024",3451
"2025",3444
"2026",3386
"2027",3409
"2028",3397
"2029",3419
"2030",3441
"2031",3452
"2032",3471
"2033",3490
"2034",3451
"2035",3468
"2036",3496
"2037",3462
"2038",3479
"2039",3456
"2040",3514
"2041",3513
